;egg;L1;L2;L3;pupae;total;mortality_total;mortality_L2;mortality_L3;mortality_L1;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
1B15;72;144;72;408;384;1080;1;1;1;1;15;Bestvi;0.013888889;0.006944444;0.013888889;0.00245098;0.002604167;0.000925926;2012;1080;2160;1080;6120;5760;16200
2B15;72;144;72;408;384;1080;1;1;1;1;15;Bestvi;0.013888889;0.006944444;0.013888889;0.00245098;0.002604167;0.000925926;2012;1080;2160;1080;6120;5760;16200
57B21;NA;NA;72;NA;NA;NA;0;1;0;1;21;Bestvi;NA;NA;0.013888889;NA;NA;NA;2012;NA;NA;1512;NA;NA;NA
66P15;48;NA;72;NA;NA;NA;0;1;0;1;15;Praha;0.020833333;NA;0.013888889;NA;NA;NA;2012;720;NA;1080;NA;NA;NA
67P15;48;NA;72;NA;NA;NA;0;1;0;1;15;Praha;0.020833333;NA;0.013888889;NA;NA;NA;2012;720;NA;1080;NA;NA;NA
BSW18025;155;27;73;NA;NA;NA;0;1;0;1;18;Bestvi;0.006451613;0.037037037;0.01369863;NA;NA;NA;2013;2790;486;1314;NA;NA;NA
PSW21036;105.5;27;73;NA;NA;672;1;1;1;1;21;Praha;0.009478673;0.037037037;0.01369863;NA;NA;0.001488095;2013;2215.5;567;1533;NA;NA;14112
PSW18025;180.7500007;52;73;NA;NA;NA;0;1;0;1;18;Praha;0.005532503;0.019230769;0.01369863;NA;NA;NA;2013;3253.500013;936;1314;NA;NA;NA
BSW18020;154.25;52;73;NA;NA;NA;0;1;0;1;18;Bestvi;0.006482982;0.019230769;0.01369863;NA;NA;NA;2013;2776.5;936;1314;NA;NA;NA
BSW18023;154.25;52;73;NA;NA;NA;0;1;0;1;18;Bestvi;0.006482982;0.019230769;0.01369863;NA;NA;NA;2013;2776.5;936;1314;NA;NA;NA
KSW18005;154.25;52;73;NA;NA;NA;0;1;0;1;18;Klatovy;0.006482982;0.019230769;0.01369863;NA;NA;NA;2013;2776.5;936;1314;NA;NA;NA
PSW18027;154.25;52;73;NA;NA;NA;0;1;0;1;18;Praha;0.006482982;0.019230769;0.01369863;NA;NA;NA;2013;2776.5;936;1314;NA;NA;NA
PSW18029;154.25;52;73;NA;NA;NA;0;1;0;1;18;Praha;0.006482982;0.019230769;0.01369863;NA;NA;NA;2013;2776.5;936;1314;NA;NA;NA
KSW18013;158.5;95;73;NA;NA;NA;0;1;0;1;18;Klatovy;0.006309148;0.010526316;0.01369863;NA;NA;NA;2013;2853;1710;1314;NA;NA;NA
BSW18016;137.7500007;95;73;NA;NA;NA;0;1;0;1;18;Bestvi;0.007259528;0.010526316;0.01369863;NA;NA;NA;2013;2479.500013;1710;1314;NA;NA;NA
PSW18019;137.7500007;95;73;NA;NA;816;1;1;1;1;18;Praha;0.007259528;0.010526316;0.01369863;NA;NA;0.00122549;2013;2479.500013;1710;1314;NA;NA;14688
PSW18033;132.5;147;73;NA;NA;NA;0;1;0;1;18;Praha;0.00754717;0.006802721;0.01369863;NA;NA;NA;2013;2385;2646;1314;NA;NA;NA
KSW1801004;NA;71;73.5;NA;NA;NA;0;1;0;1;18;Klatovy;NA;0.014084507;0.013605442;NA;NA;NA;2013;NA;1278;1323;NA;NA;NA
PSW21020;107;48;74;NA;NA;NA;0;1;0;1;21;Praha;0.009345794;0.020833333;0.013513514;NA;NA;NA;2013;2247;1008;1554;NA;NA;NA
PSW18007;NA;72.5;74;NA;NA;NA;0;1;0;1;18;Praha;NA;0.013793103;0.013513514;NA;NA;NA;2013;NA;1305;1332;NA;NA;NA
PSW21055;113.0000007;44;76;NA;NA;NA;0;1;0;1;21;Praha;0.008849557;0.022727273;0.013157895;NA;NA;NA;2013;2373.000015;924;1596;NA;NA;NA
BSW18014;137.7500007;68;76;NA;NA;NA;0;1;0;1;18;Bestvi;0.007259528;0.014705882;0.013157895;NA;NA;NA;2013;2479.500013;1224;1368;NA;NA;NA
BSW18015;137.7500007;68;76;NA;NA;NA;0;1;0;1;18;Bestvi;0.007259528;0.014705882;0.013157895;NA;NA;NA;2013;2479.500013;1224;1368;NA;NA;NA
BSW18017;137.7500007;68;76;NA;NA;NA;0;1;0;1;18;Bestvi;0.007259528;0.014705882;0.013157895;NA;NA;NA;2013;2479.500013;1224;1368;NA;NA;NA
PSW18022;137.7500007;68;76;NA;NA;NA;0;1;0;1;18;Praha;0.007259528;0.014705882;0.013157895;NA;NA;NA;2013;2479.500013;1224;1368;NA;NA;NA
PSW21034;137.7500007;68;76;NA;NA;NA;0;1;0;1;21;Praha;0.007259528;0.014705882;0.013157895;NA;NA;NA;2013;2892.750015;1428;1596;NA;NA;NA
PSW21030;87;68;76;NA;NA;NA;0;1;0;1;21;Praha;0.011494253;0.014705882;0.013157895;NA;NA;NA;2013;1827;1428;1596;NA;NA;NA
PSW21032;87;68;76;NA;NA;NA;0;1;0;1;21;Praha;0.011494253;0.014705882;0.013157895;NA;NA;NA;2013;1827;1428;1596;NA;NA;NA
BSW18009;113.7500007;92;76;NA;NA;NA;0;1;0;1;18;Bestvi;0.008791209;0.010869565;0.013157895;NA;NA;NA;2013;2047.500013;1656;1368;NA;NA;NA
BSW18004;NA;98.75;76.5;NA;NA;NA;0;1;0;1;18;Bestvi;NA;0.010126582;0.013071895;NA;NA;NA;2013;NA;1777.5;1377;NA;NA;NA
BSW18003;106.5;98.75;76.5;NA;NA;NA;0;1;0;1;18;Bestvi;0.009389671;0.010126582;0.013071895;NA;NA;NA;2013;1917;1777.5;1377;NA;NA;NA
PSW18011;106.5;98.75;76.5;NA;NA;NA;0;1;0;1;18;Praha;0.009389671;0.010126582;0.013071895;NA;NA;NA;2013;1917;1777.5;1377;NA;NA;NA
PSW18035;134.5;48;90.5;NA;NA;NA;0;1;0;1;18;Praha;0.007434944;0.020833333;0.011049724;NA;NA;NA;2013;2421;864;1629;NA;NA;NA
BSW18032;132.5;76;90.5;NA;NA;NA;0;1;0;1;18;Bestvi;0.00754717;0.013157895;0.011049724;NA;NA;NA;2013;2385;1368;1629;NA;NA;NA
PSW21063;106.5;76;90.5;NA;NA;NA;0;1;0;1;21;Praha;0.009389671;0.013157895;0.011049724;NA;NA;NA;2013;2236.5;1596;1900.5;NA;NA;NA
PSW21065;106.5;76;90.5;NA;NA;696;1;1;1;1;21;Praha;0.009389671;0.013157895;0.011049724;NA;NA;0.001436782;2013;2236.5;1596;1900.5;NA;NA;14616
BSW18007;113.75;119;93;NA;NA;NA;0;1;0;1;18;Bestvi;0.008791209;0.008403361;0.010752688;NA;NA;NA;2013;2047.5;2142;1674;NA;NA;NA
DSW18006;155;24.5;94.25;NA;NA;NA;0;1;0;1;18;Domazlice;0.006451613;0.040816327;0.01061008;NA;NA;NA;2013;2790;441;1696.5;NA;NA;NA
KSW18002;155;24.5;94.25;NA;NA;NA;0;1;0;1;18;Klatovy;0.006451613;0.040816327;0.01061008;NA;NA;NA;2013;2790;441;1696.5;NA;NA;NA
DSW18026;112.5;72;95;NA;NA;NA;0;1;0;1;18;Domazlice;0.008888889;0.013888889;0.010526316;NA;NA;NA;2013;2025;1296;1710;NA;NA;NA
PSW21047;88.5;96;95;NA;NA;NA;0;1;0;1;21;Praha;0.011299435;0.010416667;0.010526316;NA;NA;NA;2013;1858.5;2016;1995;NA;NA;NA
PSW21046;88.5;96;95;NA;NA;720;1;1;1;1;21;Praha;0.011299435;0.010416667;0.010526316;NA;NA;0.001388889;2013;1858.5;2016;1995;NA;NA;15120
PSW18013;131.25;74;95.5;NA;NA;NA;0;1;0;1;18;Praha;0.007619048;0.013513514;0.010471204;NA;NA;NA;2013;2362.5;1332;1719;NA;NA;NA
PSW1803004;NA;NA;95.5;NA;NA;NA;0;1;0;1;18;Praha;NA;NA;0.010471204;NA;NA;NA;2013;NA;NA;1719;NA;NA;NA
KSW18001;NA;47.5;96;NA;NA;NA;0;1;0;1;18;Klatovy;NA;0.021052632;0.010416667;NA;NA;NA;2013;NA;855;1728;NA;NA;NA
KSW18008;158.75;49;96;NA;NA;NA;0;1;0;1;18;Klatovy;0.006299213;0.020408163;0.010416667;NA;NA;NA;2013;2857.5;882;1728;NA;NA;NA
BSW21027;107;49;96;NA;NA;NA;0;1;0;1;21;Bestvi;0.009345794;0.020408163;0.010416667;NA;NA;NA;2013;2247;1029;2016;NA;NA;NA
73B21;72;72;96;240;NA;NA;0;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;NA;NA;2012;1512;1512;2016;5040;NA;NA
74B21;72;72;96;240;NA;NA;0;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;NA;NA;2012;1512;1512;2016;5040;NA;NA
75B21;72;72;96;240;NA;NA;0;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;NA;NA;2012;1512;1512;2016;5040;NA;NA
76B21;72;72;96;240;NA;NA;0;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;NA;NA;2012;1512;1512;2016;5040;NA;NA
71B21;72;72;96;168;240;648;1;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.005952381;0.004166667;0.00154321;2012;1512;1512;2016;3528;5040;13608
72B21;72;72;96;168;312;720;1;1;1;1;21;Bestvi;0.013888889;0.013888889;0.010416667;0.005952381;0.003205128;0.001388889;2012;1512;1512;2016;3528;6552;15120
93P15;144;96;96;NA;NA;NA;0;1;0;1;15;Praha;0.006944444;0.010416667;0.010416667;NA;NA;NA;2012;2160;1440;1440;NA;NA;NA
PSW15004;181.8750007;125;96;NA;NA;NA;0;1;0;1;15;Praha;0.005498282;0.008;0.010416667;NA;NA;NA;2013;2728.125011;1875;1440;NA;NA;NA
5B15;96;192;96;NA;NA;NA;0;1;0;1;15;Bestvi;0.010416667;0.005208333;0.010416667;NA;NA;NA;2012;1440;2880;1440;NA;NA;NA
6B15;96;192;96;NA;NA;NA;0;1;0;1;15;Bestvi;0.010416667;0.005208333;0.010416667;NA;NA;NA;2012;1440;2880;1440;NA;NA;NA
7B15;96;192;96;NA;NA;NA;0;1;0;1;15;Bestvi;0.010416667;0.005208333;0.010416667;NA;NA;NA;2012;1440;2880;1440;NA;NA;NA
8B15;96;192;96;NA;NA;NA;0;1;0;1;15;Bestvi;0.010416667;0.005208333;0.010416667;NA;NA;NA;2012;1440;2880;1440;NA;NA;NA
9B15;96;192;96;NA;NA;NA;0;1;0;1;15;Bestvi;0.010416667;0.005208333;0.010416667;NA;NA;NA;2012;1440;2880;1440;NA;NA;NA
3B15;72;216;96;408;288;1080;1;1;1;1;15;Bestvi;0.013888889;0.00462963;0.010416667;0.00245098;0.003472222;0.000925926;2012;1080;3240;1440;6120;4320;16200
4B15;72;216;96;408;NA;NA;0;1;1;1;15;Bestvi;0.013888889;0.00462963;0.010416667;0.00245098;NA;NA;2012;1080;3240;1440;6120;NA;NA
115B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
116B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
117B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
118B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
119B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
120B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
121B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
122B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
123B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
124B25;NA;NA;96;NA;NA;NA;0;1;0;1;25;Bestvi;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;2400;NA;NA;NA
98P15;NA;NA;96;NA;NA;NA;0;1;0;1;15;Praha;NA;NA;0.010416667;NA;NA;NA;2012;NA;NA;1440;NA;NA;NA
99P15;NA;NA;96;408;288;NA;1;1;1;1;15;Praha;NA;NA;0.010416667;0.00245098;0.003472222;NA;2012;NA;NA;1440;6120;4320;NA
132P21;NA;NA;96;240;NA;NA;0;1;1;1;21;Praha;NA;NA;0.010416667;0.004166667;NA;NA;2012;NA;NA;2016;5040;NA;NA
125B25;NA;NA;96;240;NA;NA;0;1;1;1;25;Bestvi;NA;NA;0.010416667;0.004166667;NA;NA;2012;NA;NA;2400;6000;NA;NA
BSW18002;NA;46.5;98;NA;NA;NA;0;1;0;1;18;Bestvi;NA;0.021505376;0.010204082;NA;NA;NA;2013;NA;837;1764;NA;NA;NA
BSW18001;133;46.5;98;NA;NA;NA;0;1;0;1;18;Bestvi;0.007518797;0.021505376;0.010204082;NA;NA;NA;2013;2394;837;1764;NA;NA;NA
PSW15001;180;94;98;NA;NA;NA;0;1;0;1;15;Praha;0.005555556;0.010638298;0.010204082;NA;NA;NA;2013;2700;1410;1470;NA;NA;NA
DSW18011;NA;47.75;98.75;NA;NA;NA;0;1;0;1;18;Domazlice;NA;0.020942408;0.010126582;NA;NA;NA;2013;NA;859.5;1777.5;NA;NA;NA
BSW18019;180.7500007;25;100;NA;NA;NA;0;1;0;1;18;Bestvi;0.005532503;0.04;0.01;NA;NA;NA;2013;3253.500013;450;1800;NA;NA;NA
PSW18024;180.7500007;25;100;NA;NA;NA;0;1;0;1;18;Praha;0.005532503;0.04;0.01;NA;NA;NA;2013;3253.500013;450;1800;NA;NA;NA
PSW18026;180.7500007;25;100;NA;NA;NA;0;1;0;1;18;Praha;0.005532503;0.04;0.01;NA;NA;NA;2013;3253.500013;450;1800;NA;NA;NA
DSW18020;137.7500007;68;100;NA;NA;NA;0;1;0;1;18;Domazlice;0.007259528;0.014705882;0.01;NA;NA;NA;2013;2479.500013;1224;1800;NA;NA;NA
PSW21071;86;90.5;100.5;NA;NA;NA;0;1;0;1;21;Praha;0.011627907;0.011049724;0.009950249;NA;NA;NA;2013;1806;1900.5;2110.5;NA;NA;NA
KSW18011;133;114.5;100.5;NA;NA;NA;0;1;0;1;18;Klatovy;0.007518797;0.008733624;0.009950249;NA;NA;NA;2013;2394;2061;1809;NA;NA;NA
PSW18039;133;114.5;100.5;NA;NA;NA;0;1;0;1;18;Praha;0.007518797;0.008733624;0.009950249;NA;NA;NA;2013;2394;2061;1809;NA;NA;NA
BSW18034;160.5;24;114.5;NA;NA;NA;0;1;0;1;18;Bestvi;0.00623053;0.041666667;0.008733624;NA;NA;NA;2013;2889;432;2061;NA;NA;NA
BSW18028;112.5;72;114.5;NA;NA;NA;0;1;0;1;18;Bestvi;0.008888889;0.013888889;0.008733624;NA;NA;NA;2013;2025;1296;2061;NA;NA;NA
DSW18015;158.25;25.5;119;NA;NA;NA;0;1;0;1;18;Domazlice;0.006319115;0.039215686;0.008403361;NA;NA;NA;2013;2848.5;459;2142;NA;NA;NA
BSW18024;155;27;121;NA;NA;NA;0;1;0;1;18;Bestvi;0.006451613;0.037037037;0.008264463;NA;NA;NA;2013;2790;486;2178;NA;NA;NA
DSW18018;137.7500007;95;121;NA;NA;NA;0;1;0;1;18;Domazlice;0.007259528;0.010526316;0.008264463;NA;NA;NA;2013;2479.500013;1710;2178;NA;NA;NA
DSW18016;111.25;95;121;NA;NA;NA;0;1;0;1;18;Domazlice;0.008988764;0.010526316;0.008264463;NA;NA;NA;2013;2002.5;1710;2178;NA;NA;NA
PSW18001;NA;46;121.5;NA;NA;NA;0;1;0;1;18;Praha;NA;0.02173913;0.008230453;NA;NA;NA;2013;NA;828;2187;NA;NA;NA
PSW15003;180;94;125.5;NA;NA;NA;0;1;0;1;15;Praha;0.005555556;0.010638298;0.007968127;NA;NA;NA;2013;2700;1410;1882.5;NA;NA;NA
PSW21049;88.5;96;138.75;NA;NA;NA;0;1;0;1;21;Praha;0.011299435;0.010416667;0.007207207;NA;NA;NA;2013;1858.5;2016;2913.75;NA;NA;NA
PSW21026;86.375;76.5;144;NA;NA;NA;0;1;0;1;21;Praha;0.011577424;0.013071895;0.006944444;NA;NA;NA;2013;1813.875;1606.5;3024;NA;NA;NA
136P15;216;144;144;288;NA;NA;0;1;1;1;15;Praha;0.00462963;0.006944444;0.006944444;0.003472222;NA;NA;2012;3240;2160;2160;4320;NA;NA
15P15;NA;NA;144;NA;NA;NA;0;1;0;1;15;Praha;NA;NA;0.006944444;NA;NA;NA;2012;NA;NA;2160;NA;NA;NA
14P15;NA;NA;144;480;NA;NA;0;1;1;1;15;Praha;NA;NA;0.006944444;0.002083333;NA;NA;2012;NA;NA;2160;7200;NA;NA
13P15;NA;NA;144;408;NA;NA;0;1;1;1;15;Praha;NA;NA;0.006944444;0.00245098;NA;NA;2012;NA;NA;2160;6120;NA;NA
12P15;NA;NA;144;336;528;NA;1;1;1;1;15;Praha;NA;NA;0.006944444;0.00297619;0.001893939;NA;2012;NA;NA;2160;5040;7920;NA
PSW21051;113.0000007;44;147;NA;NA;NA;0;1;0;1;21;Praha;0.008849557;0.022727273;0.006802721;NA;NA;NA;2013;2373.000015;924;3087;NA;NA;NA
KSW1801006;155.5;24.5;147.5;NA;NA;NA;0;1;0;1;18;Klatovy;0.006430868;0.040816327;0.006779661;NA;NA;NA;2013;2799;441;2655;NA;NA;NA
DSW18017;111.25;68;148;NA;NA;NA;0;1;0;1;18;Domazlice;0.008988764;0.014705882;0.006756757;NA;NA;NA;2013;2002.5;1224;2664;NA;NA;NA
PSW18005;133;94.25;151.25;NA;NA;NA;0;1;0;1;18;Praha;0.007518797;0.01061008;0.00661157;NA;NA;NA;2013;2394;1696.5;2722.5;NA;NA;NA
DSW18023;105.5;100;167;NA;NA;NA;0;1;0;1;18;Domazlice;0.009478673;0.01;0.005988024;NA;NA;NA;2013;1899;1800;3006;NA;NA;NA
25B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
26B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
27B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
28B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
29B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
30B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
31B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
32B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
33B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
34B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
35B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
36B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
37B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
38B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
39B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
40B15;72;72;168;NA;NA;NA;0;1;0;1;15;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1080;1080;2520;NA;NA;NA
77B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
78B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
79B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
80B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
81B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
82B21;72;72;168;NA;NA;NA;0;1;0;1;21;Bestvi;0.013888889;0.013888889;0.005952381;NA;NA;NA;2012;1512;1512;3528;NA;NA;NA
22B15;72;72;168;480;NA;NA;0;1;1;1;15;Bestvi;0.013888889;0.013888889;0.005952381;0.002083333;NA;NA;2012;1080;1080;2520;7200;NA;NA
23B15;72;72;168;480;NA;NA;0;1;1;1;15;Bestvi;0.013888889;0.013888889;0.005952381;0.002083333;NA;NA;2012;1080;1080;2520;7200;NA;NA
24B15;72;72;168;480;NA;NA;0;1;1;1;15;Bestvi;0.013888889;0.013888889;0.005952381;0.002083333;NA;NA;2012;1080;1080;2520;7200;NA;NA
BSW18026;109.5000007;121;168;NA;NA;NA;0;1;0;1;18;Bestvi;0.00913242;0.008264463;0.005952381;NA;NA;NA;2013;1971.000013;2178;3024;NA;NA;NA
41B15;NA;NA;168;NA;NA;NA;0;1;0;1;15;Bestvi;NA;NA;0.005952381;NA;NA;NA;2012;NA;NA;2520;NA;NA;NA
42B15;NA;NA;168;NA;NA;NA;0;1;0;1;15;Bestvi;NA;NA;0.005952381;NA;NA;NA;2012;NA;NA;2520;NA;NA;NA
BSW18005;131.25;74;171.5;NA;NA;NA;0;1;0;1;18;Bestvi;0.007619048;0.013513514;0.005830904;NA;NA;NA;2013;2362.5;1332;3087;NA;NA;NA
PSW15016;157;191;189;NA;NA;NA;0;1;0;1;15;Praha;0.006369427;0.005235602;0.005291005;NA;NA;NA;2013;2355;2865;2835;NA;NA;NA
