;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
BSW21005;;48;49;;;;21;Bestvi;;0.020833333;0.020408163;;;;2013
PSW18028;154.25;76;49;;;;18;Praha;0.006482982;0.013157895;0.020408163;;;;2013
PSW18023;181.8750007;76;49;;;;18;Praha;0.005498282;0.013157895;0.020408163;;;;2013
PSW21033;111.25;68;51;;;;21;Praha;0.008988764;0.014705882;0.019607843;;;;2013
DSW18019;137.7500007;68;51;;;;18;Domazlice;0.007259528;0.014705882;0.019607843;;;;2013
PSW21058;112.5;20;52;;;;21;Praha;0.008888889;0.05;0.019230769;;;;2013
PSW21053;113.0000007;44;52;;;;21;Praha;0.008849557;0.022727273;0.019230769;;;;2013
PSW18014;131.25;74;52.5;;;;18;Praha;0.007619048;0.013513514;0.019047619;;;;2013
PSW18015;131.25;74;52.5;;;;18;Praha;0.007619048;0.013513514;0.019047619;;;;2013
PSW18012;155;74;52.5;;;;18;Praha;0.006451613;0.013513514;0.019047619;;;;2013
KSW18003;131.5000007;122;52.5;;;;18;Klatovy;0.007604563;0.008196721;0.019047619;;;;2013
BSW21008;107.0000007;72.5;53;;;;21;Bestvi;0.009345794;0.013793103;0.018867925;;;;2013
PSW21060;106.5;166.5;53.5;;;;21;Praha;0.009389671;0.006006006;0.018691589;;;;2013
PSW21037;105.5;51;69;;;;21;Praha;0.009478673;0.019607843;0.014492754;;;;2013
PSW21052;113.0000007;72;69;;;;21;Praha;0.008849557;0.013888889;0.014492754;;;;2013
PSW21054;113.0000007;72;69;;;;21;Praha;0.008849557;0.013888889;0.014492754;;;;2013
KSW1801002;;97;70.5;;;;18;Klatovy;;0.010309278;0.014184397;;;;2013
PSW21006;132;23;71;;;;21;Praha;0.007575758;0.043478261;0.014084507;;;;2013
DSW18005;155;24.5;71;;;;18;Domazlice;0.006451613;0.040816327;0.014084507;;;;2013
PSW1803005;179;24.5;71;;;;18;Praha;0.005586592;0.040816327;0.014084507;;;;2013
PSW21066;109;48;71;;;;21;Praha;0.009174312;0.020833333;0.014084507;;;;2013
PSW21067;109;48;71;;;;21;Praha;0.009174312;0.020833333;0.014084507;;;;2013
PSW18002;;72;71;;;;18;Praha;;0.013888889;0.014084507;;;;2013
PSW18034;132.5;76;71;;;;18;Praha;0.00754717;0.013157895;0.014084507;;;;2013
PSW21045;88.5;120;71;;;;21;Praha;0.011299435;0.008333333;0.014084507;;;;2013
BSW21006;;;71;;;;21;Bestvi;;;0.014084507;;;;2013
PSW21007;;23;71.25;;;;21;Praha;;0.043478261;0.014035088;;;;2013
BSW21025;107;49;72;;;;21;Bestvi;0.009345794;0.020408163;0.013888889;;;;2013
PSW21041;109.5000007;49;72;;;;21;Praha;0.00913242;0.020408163;0.013888889;;;;2013
PSW21042;109.5000007;49;72;;;;21;Praha;0.00913242;0.020408163;0.013888889;;;;2013
51B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
52B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
53B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
54B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
55B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
56B21;48;72;72;;;;21;Bestvi;0.020833333;0.013888889;0.013888889;;;;2012
92P15;144;96;72;;;;15;Praha;0.006944444;0.010416667;0.013888889;;;;2012
BSW21021;80;100;72;;;;21;Bestvi;0.0125;0.01;0.013888889;;;;2013
11P15;96;144;72;;;;15;Praha;0.010416667;0.006944444;0.013888889;;;;2012
66P15;48;240;72;;;;15;Praha;0.020833333;0.004166667;0.013888889;;;;2012
67P15;48;240;72;;;;15;Praha;0.020833333;0.004166667;0.013888889;;;;2012
57B21;;;72;;;;21;Bestvi;;;0.013888889;;;;2012
BSW18025;155;27;73;;;;18;Bestvi;0.006451613;0.037037037;0.01369863;;;;2013
BSW18020;154.25;52;73;;;;18;Bestvi;0.006482982;0.019230769;0.01369863;;;;2013
BSW18023;154.25;52;73;;;;18;Bestvi;0.006482982;0.019230769;0.01369863;;;;2013
KSW18005;154.25;52;73;;;;18;Klatovy;0.006482982;0.019230769;0.01369863;;;;2013
PSW18027;154.25;52;73;;;;18;Praha;0.006482982;0.019230769;0.01369863;;;;2013
PSW18029;154.25;52;73;;;;18;Praha;0.006482982;0.019230769;0.01369863;;;;2013
PSW18025;180.7500007;52;73;;;;18;Praha;0.005532503;0.019230769;0.01369863;;;;2013
BSW18016;137.7500007;95;73;;;;18;Bestvi;0.007259528;0.010526316;0.01369863;;;;2013
KSW18013;158.5;95;73;;;;18;Klatovy;0.006309148;0.010526316;0.01369863;;;;2013
PSW18033;132.5;147;73;;;;18;Praha;0.00754717;0.006802721;0.01369863;;;;2013
KSW1801004;;71;73.5;;;;18;Klatovy;;0.014084507;0.013605442;;;;2013
PSW21020;107;48;74;;;;21;Praha;0.009345794;0.020833333;0.013513514;;;;2013
PSW18007;;72.5;74;;;;18;Praha;;0.013793103;0.013513514;;;;2013
PSW21055;113.0000007;44;76;;;;21;Praha;0.008849557;0.022727273;0.013157895;;;;2013
PSW21030;87;68;76;;;;21;Praha;0.011494253;0.014705882;0.013157895;;;;2013
PSW21032;87;68;76;;;;21;Praha;0.011494253;0.014705882;0.013157895;;;;2013
BSW18014;137.7500007;68;76;;;;18;Bestvi;0.007259528;0.014705882;0.013157895;;;;2013
BSW18015;137.7500007;68;76;;;;18;Bestvi;0.007259528;0.014705882;0.013157895;;;;2013
BSW18017;137.7500007;68;76;;;;18;Bestvi;0.007259528;0.014705882;0.013157895;;;;2013
PSW18022;137.7500007;68;76;;;;18;Praha;0.007259528;0.014705882;0.013157895;;;;2013
PSW21034;137.7500007;68;76;;;;21;Praha;0.007259528;0.014705882;0.013157895;;;;2013
BSW18009;113.7500007;92;76;;;;18;Bestvi;0.008791209;0.010869565;0.013157895;;;;2013
BSW18003;106.5;98.75;76.5;;;;18;Bestvi;0.009389671;0.010126582;0.013071895;;;;2013
PSW18011;106.5;98.75;76.5;;;;18;Praha;0.009389671;0.010126582;0.013071895;;;;2013
BSW18004;;98.75;76.5;;;;18;Bestvi;;0.010126582;0.013071895;;;;2013
PSW18035;134.5;48;90.5;;;;18;Praha;0.007434944;0.020833333;0.011049724;;;;2013
PSW21063;106.5;76;90.5;;;;21;Praha;0.009389671;0.013157895;0.011049724;;;;2013
BSW18032;132.5;76;90.5;;;;18;Bestvi;0.00754717;0.013157895;0.011049724;;;;2013
BSW18007;113.75;119;93;;;;18;Bestvi;0.008791209;0.008403361;0.010752688;;;;2013
DSW18006;155;24.5;94.25;;;;18;Domazlice;0.006451613;0.040816327;0.01061008;;;;2013
