individual;development;r;DT;mortality_total;mortality_L2;mortality_L3;temp;loc;year;stage
PSW21047;88.5;0.011299435;1858.5;0;1;0;21;Praha;2013;egg
PSW21049;88.5;0.011299435;1858.5;0;1;0;21;Praha;2013;egg
PSW21048;88.5;0.011299435;1858.5;0;0;0;21;Praha;2013;egg
BSW21030;88.5;0.011299435;1858.5;0;0;0;21;Bestvi;2013;egg
BSW21031;88.5;0.011299435;1858.5;0;0;0;21;Bestvi;2013;egg
PSW21046;88.5;0.011299435;1858.5;1;1;1;21;Praha;2013;egg
11P15;96;0.010416667;1440;0;1;0;15;Praha;2012;egg
5B15;96;0.010416667;1440;0;1;0;15;Bestvi;2012;egg
6B15;96;0.010416667;1440;0;1;0;15;Bestvi;2012;egg
7B15;96;0.010416667;1440;0;1;0;15;Bestvi;2012;egg
8B15;96;0.010416667;1440;0;1;0;15;Bestvi;2012;egg
9B15;96;0.010416667;1440;0;1;0;15;Bestvi;2012;egg
138P15;96;0.010416667;1440;0;0;0;15;Praha;2012;egg
139P15;96;0.010416667;1440;0;0;0;15;Praha;2012;egg
133B15;96;0.010416667;1440;0;0;0;15;Bestvi;2012;egg
134B15;96;0.010416667;1440;0;0;0;15;Bestvi;2012;egg
135R15;96;0.010416667;1440;0;0;0;15;Praha;2012;egg
PSW21037;105.5;0.009478673;2215.5;0;1;0;21;Praha;2013;egg
DSW18023;105.5;0.009478673;1899;0;1;0;18;Domazlice;2013;egg
DSW18022;105.5;0.009478673;1899;0;0;0;18;Domazlice;2013;egg
KSW18007;105.5;0.009478673;1899;0;0;0;18;Klatovy;2013;egg
PSW21038;105.5;0.009478673;2215.5;0;0;0;21;Praha;2013;egg
PSW21036;105.5;0.009478673;2215.5;1;1;1;21;Praha;2013;egg
DSW18003;106;0.009433962;1908;0;0;0;18;Domazlice;2013;egg
PSW21060;106.5;0.009389671;2236.5;0;1;0;21;Praha;2013;egg
BSW18003;106.5;0.009389671;1917;0;1;0;18;Bestvi;2013;egg
PSW18011;106.5;0.009389671;1917;0;1;0;18;Praha;2013;egg
PSW21063;106.5;0.009389671;2236.5;0;1;0;21;Praha;2013;egg
PSW21062;106.5;0.009389671;2236.5;0;0;0;21;Praha;2013;egg
BSW21018;106.5;0.009389671;2236.5;0;0;0;21;Bestvi;2013;egg
PSW21024;106.5;0.009389671;2236.5;0;0;0;21;Praha;2013;egg
PSW21059;106.5;0.009389671;2236.5;0;0;0;21;Praha;2013;egg
PSW21064;106.5;0.009389671;2236.5;0;0;0;21;Praha;2013;egg
PSW21061;106.5;0.009389671;2236.5;1;1;1;21;Praha;2013;egg
PSW21065;106.5;0.009389671;2236.5;1;1;1;21;Praha;2013;egg
BSW21024;107;0.009345794;2247;0;1;0;21;Bestvi;2013;egg
BSW21025;107;0.009345794;2247;0;1;0;21;Bestvi;2013;egg
PSW21020;107;0.009345794;2247;0;1;0;21;Praha;2013;egg
BSW21027;107;0.009345794;2247;0;1;0;21;Bestvi;2013;egg
BSW21007;107;0.009345794;2247;0;0;0;21;Bestvi;2013;egg
BSW21012;107;0.009345794;2247;0;0;0;21;Bestvi;2013;egg
BSW21026;107;0.009345794;2247;0;0;0;21;Bestvi;2013;egg
BSW21028;107;0.009345794;2247;0;0;0;21;Bestvi;2013;egg
PSW21022;107;0.009345794;2247;0;0;0;21;Praha;2013;egg
BSW21023;107;0.009345794;2247;1;1;1;21;Bestvi;2013;egg
BSW21008;107.0000007;0.009345794;2247.000015;0;1;0;21;Bestvi;2013;egg
PSW21015;107.0000007;0.009345794;2247.000015;0;0;0;21;Praha;2013;egg
PSW21018;107.0000007;0.009345794;2247.000015;0;0;0;21;Praha;2013;egg
PSW21017;107.0000007;0.009345794;2247.000015;0;0;0;21;Praha;2013;egg
PSW21016;107.0000007;0.009345794;2247.000015;0;0;0;21;Praha;2013;egg
PSW21010;108;0.009259259;2268;0;0;0;21;Praha;2013;egg
PSW21011;108;0.009259259;2268;0;0;0;21;Praha;2013;egg
PSW21001;108.5;0.00921659;2278.5;0;0;0;21;Praha;2013;egg
PSW21002;108.5;0.00921659;2278.5;0;0;0;21;Praha;2013;egg
PSW21003;108.5;0.00921659;2278.5;0;0;0;21;Praha;2013;egg
PSW21004;108.5;0.00921659;2278.5;0;0;0;21;Praha;2013;egg
PSW21066;109;0.009174312;2289;0;1;0;21;Praha;2013;egg
PSW21067;109;0.009174312;2289;0;1;0;21;Praha;2013;egg
PSW21068;109;0.009174312;2289;0;0;0;21;Praha;2013;egg
PSW21069;109;0.009174312;2289;0;0;0;21;Praha;2013;egg
PSW21070;109;0.009174312;2289;0;0;0;21;Praha;2013;egg
BSW18035;109;0.009174312;1962;0;0;0;18;Bestvi;2013;egg
DSW18027;109;0.009174312;1962;0;0;0;18;Domazlice;2013;egg
BSW2100?;109;0.009174312;2289;0;0;0;21;Bestvi;2013;egg
PSW21040;109.5;0.00913242;2299.5;0;1;0;21;Praha;2013;egg
PSW21041;109.5000007;0.00913242;2299.500015;0;1;0;21;Praha;2013;egg
PSW21042;109.5000007;0.00913242;2299.500015;0;1;0;21;Praha;2013;egg
BSW18026;109.5000007;0.00913242;1971.000013;0;1;0;18;Bestvi;2013;egg
DSW18024;109.5000007;0.00913242;1971.000013;0;0;0;18;Domazlice;2013;egg
PSW21043;109.5000007;0.00913242;2299.500015;0;0;0;21;Praha;2013;egg
PSW21033;111.25;0.008988764;2336.25;0;1;0;21;Praha;2013;egg
DSW18016;111.25;0.008988764;2002.5;0;1;0;18;Domazlice;2013;egg
DSW18017;111.25;0.008988764;2002.5;0;1;0;18;Domazlice;2013;egg
PSW18017;111.25;0.008988764;2002.5;0;0;0;18;Praha;2013;egg
PSW18018;111.25;0.008988764;2002.5;0;0;0;18;Praha;2013;egg
PSW21027;111.875;0.008938547;2349.375;0;0;0;21;Praha;2013;egg
PSW21028;111.8750007;0.008938547;2349.375015;0;0;0;21;Praha;2013;egg
PSW21058;112.5;0.008888889;2362.5;0;1;0;21;Praha;2013;egg
DSW18026;112.5;0.008888889;2025;0;1;0;18;Domazlice;2013;egg
BSW18028;112.5;0.008888889;2025;0;1;0;18;Bestvi;2013;egg
PSW21057;112.5;0.008888889;2362.5;0;0;0;21;Praha;2013;egg
BSW18029;112.5;0.008888889;2025;0;0;0;18;Bestvi;2013;egg
BSW21032;112.5;0.008888889;2362.5;1;1;1;21;Bestvi;2013;egg
BSW21029;113;0.008849558;2373;0;0;0;21;Bestvi;2013;egg
PSW21053;113.0000007;0.008849557;2373.000015;0;1;0;21;Praha;2013;egg
PSW21052;113.0000007;0.008849557;2373.000015;0;1;0;21;Praha;2013;egg
PSW21054;113.0000007;0.008849557;2373.000015;0;1;0;21;Praha;2013;egg
PSW21055;113.0000007;0.008849557;2373.000015;0;1;0;21;Praha;2013;egg
PSW21051;113.0000007;0.008849557;2373.000015;0;1;0;21;Praha;2013;egg
PSW18031;113.0000007;0.008849557;2034.000013;0;1;0;18;Praha;2013;egg
BSW18027;113.0000007;0.008849557;2034.000013;0;0;0;18;Bestvi;2013;egg
DSW18025;113.0000007;0.008849557;2034.000013;0;0;0;18;Domazlice;2013;egg
PSW21050;113.0000007;0.008849557;2373.000015;1;1;1;21;Praha;2013;egg
PSW21056;113.0000007;0.008849557;2373.000015;1;1;1;21;Praha;2013;egg
BSW18007;113.75;0.008791209;2047.5;0;1;0;18;Bestvi;2013;egg
PSW21029;113.75;0.008791209;2388.75;0;0;0;21;Praha;2013;egg
BSW18009;113.7500007;0.008791209;2047.500013;0;1;0;18;Bestvi;2013;egg
PSW18014;131.25;0.007619048;2362.5;0;1;0;18;Praha;2013;egg
PSW18015;131.25;0.007619048;2362.5;0;1;0;18;Praha;2013;egg
PSW18013;131.25;0.007619048;2362.5;0;1;0;18;Praha;2013;egg
BSW18005;131.25;0.007619048;2362.5;0;1;0;18;Bestvi;2013;egg
DSW18012;131.25;0.007619048;2362.5;0;0;0;18;Domazlice;2013;egg
PSW18006;131.5;0.007604563;2367;0;0;0;18;Praha;2013;egg
PSW18008;131.5;0.007604563;2367;0;0;0;18;Praha;2013;egg
PSW21014;131.5;0.007604563;2761.5;0;0;0;21;Praha;2013;egg
KSW18003;131.5000007;0.007604563;2367.000013;0;1;0;18;Klatovy;2013;egg
PSW18030;131.75;0.007590133;2371.5;0;0;0;18;Praha;2013;egg
PSW21005;132;0.007575758;2772;0;1;0;21;Praha;2013;egg
PSW21006;132;0.007575758;2772;0;1;0;21;Praha;2013;egg
BSW21004002;132;0.007575758;2772;0;0;0;21;Bestvi;2013;egg
BSW21004003;132;0.007575758;2772;0;0;0;21;Bestvi;2013;egg
BSW21004004;132;0.007575758;2772;0;0;0;21;Bestvi;2013;egg
BSW21004005;132;0.007575758;2772;0;0;0;21;Bestvi;2013;egg
PSW18034;132.5;0.00754717;2385;0;1;0;18;Praha;2013;egg
PSW18033;132.5;0.00754717;2385;0;1;0;18;Praha;2013;egg
BSW18032;132.5;0.00754717;2385;0;1;0;18;Bestvi;2013;egg
KSW18009;132.5;0.00754717;2385;0;0;0;18;Klatovy;2013;egg
PSW18032;132.5;0.00754717;2385;0;0;0;18;Praha;2013;egg
BSW18001;133;0.007518797;2394;0;1;0;18;Bestvi;2013;egg
KSW18011;133;0.007518797;2394;0;1;0;18;Klatovy;2013;egg
PSW18039;133;0.007518797;2394;0;1;0;18;Praha;2013;egg
PSW18005;133;0.007518797;2394;0;1;0;18;Praha;2013;egg
DSW18007;133;0.007518797;2394;0;0;0;18;Domazlice;2013;egg
BSW18038;133;0.007518797;2394;0;0;0;18;Bestvi;2013;egg
PSW18003;133;0.007518797;2394;0;0;0;18;Praha;2013;egg
BSW21001001;133;0.007518797;2793;1;1;1;21;Bestvi;2013;egg
PSW18035;134.5;0.007434944;2421;0;1;0;18;Praha;2013;egg
DSW18028;134.5;0.007434944;2421;0;0;0;18;Domazlice;2013;egg
BSW18036;134.5;0.007434944;2421;0;0;0;18;Bestvi;2013;egg
BSW18037;134.5;0.007434944;2421;0;0;0;18;Bestvi;2013;egg
KSW18010;134.5;0.007434944;2421;0;0;0;18;Klatovy;2013;egg
PSW18036;134.5;0.007434944;2421;0;0;0;18;Praha;2013;egg
PSW18037;134.5;0.007434944;2421;0;0;0;18;Praha;2013;egg
PSW18038;134.5;0.007434944;2421;0;0;0;18;Praha;2013;egg
BSW18006;135.875;0.007359706;2445.75;0;0;0;18;Bestvi;2013;egg
BSW18030;137.0000007;0.00729927;2466.000013;0;0;0;18;Bestvi;2013;egg
BSW18031;137.0000007;0.00729927;2466.000013;0;0;0;18;Bestvi;2013;egg
DSW18019;137.7500007;0.007259528;2479.500013;0;1;0;18;Domazlice;2013;egg
BSW18016;137.7500007;0.007259528;2479.500013;0;1;0;18;Bestvi;2013;egg
BSW18014;137.7500007;0.007259528;2479.500013;0;1;0;18;Bestvi;2013;egg
BSW18015;137.7500007;0.007259528;2479.500013;0;1;0;18;Bestvi;2013;egg
BSW18017;137.7500007;0.007259528;2479.500013;0;1;0;18;Bestvi;2013;egg
PSW18022;137.7500007;0.007259528;2479.500013;0;1;0;18;Praha;2013;egg
PSW21034;137.7500007;0.007259528;2892.750015;0;1;0;21;Praha;2013;egg
DSW18020;137.7500007;0.007259528;2479.500013;0;1;0;18;Domazlice;2013;egg
DSW18018;137.7500007;0.007259528;2479.500013;0;1;0;18;Domazlice;2013;egg
PSW18020;137.7500007;0.007259528;2479.500013;0;0;0;18;Praha;2013;egg
