;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
DSW18022;4.395833333;4.166666667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Domazlice;2013;79.125;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15010;7.708333363;4.958333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;115.6250004;74.375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
138P15;4;5;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2012;60;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
139P15;4;5;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2012;60;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW18027;4.708333363;5;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Bestvi;2013;84.75000053;90;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
DSW18025;4.708333363;5;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Domazlice;2013;84.75000053;90;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
DSW18024;4.562500029;5.041666667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Domazlice;2013;82.12500053;90.75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21010;4.5;5.0625;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;94.5;106.3125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
KSW18004;6.427083333;5.208333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;18;Klatovy;2013;115.6875;93.75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW21017;4.458333363;5.229166667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2013;93.62500061;109.8125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15005;7.5625;5.875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;113.4375;88.125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
137P15;9;6;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2012;135;90;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15008;7.437500029;6.125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;111.5625004;91.875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW15006;6.541666696;6.9375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Bestvi;2013;98.12500044;104.0625;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15006;8.5625;7.770833333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;128.4375;116.5625;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW15007;6.541666696;7.875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Bestvi;2013;98.12500044;118.125;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW15005;7.437500029;7.947916667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Bestvi;2013;111.5625004;119.21875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15009;7.437500029;7.947916667;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;111.5625004;119.21875;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
PSW15012;8.6875;7.958333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Praha;2013;130.3125;119.375;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW15009;6.541666667;15;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;15;Bestvi;2013;98.125;225;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
128P21;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2012;63;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
129P21;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2012;63;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
102B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
103B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
104B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
105B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
106B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
107B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
108B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
109B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
110B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
111B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
112B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
113B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
114B25;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;75;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
130P21;3;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Praha;2012;63;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW21019;3.333333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Bestvi;2013;70;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
BSW21020;3.333333333;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;21;Bestvi;2013;70;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!;#HODNOTA!
