;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
PSW21052;4.708333363;3;2.875;NA;NA;NA;21;Praha;2013;98.87500061;63;60.375;NA;NA;NA
PSW21054;4.708333363;3;2.875;NA;NA;NA;21;Praha;2013;98.87500061;63;60.375;NA;NA;NA
PSW21056;4.708333363;3;2.875;NA;NA;28;21;Praha;2013;98.87500061;63;60.375;NA;NA;588
KSW1801002;NA;4.041666667;2.9375;NA;NA;NA;18;Klatovy;2013;NA;72.75;52.875;NA;NA;NA
PSW21006;5.5;0.958333333;2.958333333;NA;NA;NA;21;Praha;2013;115.5;20.125;62.125;NA;NA;NA
DSW18005;6.458333333;1.020833333;2.958333333;NA;NA;NA;18;Domazlice;2013;116.25;18.375;53.25;NA;NA;NA
PSW1803005;7.458333333;1.020833333;2.958333333;NA;NA;NA;18;Praha;2013;134.25;18.375;53.25;NA;NA;NA
PSW21066;4.541666667;2;2.958333333;NA;NA;NA;21;Praha;2013;95.375;42;62.125;NA;NA;NA
PSW21067;4.541666667;2;2.958333333;NA;NA;NA;21;Praha;2013;95.375;42;62.125;NA;NA;NA
PSW18002;NA;3;2.958333333;NA;NA;NA;18;Praha;2013;NA;54;53.25;NA;NA;NA
PSW18034;5.520833333;3.166666667;2.958333333;NA;NA;NA;18;Praha;2013;99.375;57;53.25;NA;NA;NA
PSW21061;4.4375;3.166666667;2.958333333;NA;NA;26;21;Praha;2013;93.1875;66.5;62.125;NA;NA;546
PSW21045;3.6875;5;2.958333333;NA;NA;NA;21;Praha;2013;77.4375;105;62.125;NA;NA;NA
BSW21006;NA;NA;2.958333333;NA;NA;NA;21;Bestvi;2013;NA;NA;62.125;NA;NA;NA
PSW21007;NA;0.958333333;2.96875;NA;NA;NA;21;Praha;2013;NA;20.125;62.34375;NA;NA;NA
BSW21025;4.458333333;2.041666667;3;NA;NA;NA;21;Bestvi;2013;93.625;42.875;63;NA;NA;NA
PSW21041;4.562500029;2.041666667;3;NA;NA;NA;21;Praha;2013;95.81250061;42.875;63;NA;NA;NA
PSW21042;4.562500029;2.041666667;3;NA;NA;NA;21;Praha;2013;95.81250061;42.875;63;NA;NA;NA
BSW21023;4.458333333;2.041666667;3;NA;NA;28;21;Bestvi;2013;93.625;42.875;63;NA;NA;588
51B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
52B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
53B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
54B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
55B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
56B21;2;3;3;NA;NA;NA;21;Bestvi;2012;42;63;63;NA;NA;NA
92P15;6;4;3;NA;NA;NA;15;Praha;2012;90;60;45;NA;NA;NA
BSW21021;3.333333333;4.166666667;3;NA;NA;NA;21;Bestvi;2013;70;87.5;63;NA;NA;NA
11P15;4;6;3;NA;NA;NA;15;Praha;2012;60;90;45;NA;NA;NA
66P15;2;10;3;NA;NA;NA;15;Praha;2012;30;150;45;NA;NA;NA
67P15;2;10;3;NA;NA;NA;15;Praha;2012;30;150;45;NA;NA;NA
57B21;NA;NA;3;NA;NA;NA;21;Bestvi;2012;NA;NA;63;NA;NA;NA
BSW18025;6.458333333;1.125;3.041666667;NA;NA;NA;18;Bestvi;2013;116.25;20.25;54.75;NA;NA;NA
PSW21036;4.395833333;1.125;3.041666667;NA;NA;28;21;Praha;2013;92.3125;23.625;63.875;NA;NA;588
BSW18020;6.427083333;2.166666667;3.041666667;NA;NA;NA;18;Bestvi;2013;115.6875;39;54.75;NA;NA;NA
BSW18023;6.427083333;2.166666667;3.041666667;NA;NA;NA;18;Bestvi;2013;115.6875;39;54.75;NA;NA;NA
KSW18005;6.427083333;2.166666667;3.041666667;NA;NA;NA;18;Klatovy;2013;115.6875;39;54.75;NA;NA;NA
PSW18027;6.427083333;2.166666667;3.041666667;NA;NA;NA;18;Praha;2013;115.6875;39;54.75;NA;NA;NA
PSW18029;6.427083333;2.166666667;3.041666667;NA;NA;NA;18;Praha;2013;115.6875;39;54.75;NA;NA;NA
PSW18025;7.531250029;2.166666667;3.041666667;NA;NA;NA;18;Praha;2013;135.5625005;39;54.75;NA;NA;NA
BSW18016;5.739583363;3.958333333;3.041666667;NA;NA;NA;18;Bestvi;2013;103.3125005;71.25;54.75;NA;NA;NA
KSW18013;6.604166667;3.958333333;3.041666667;NA;NA;NA;18;Klatovy;2013;118.875;71.25;54.75;NA;NA;NA
PSW18019;5.739583363;3.958333333;3.041666667;NA;NA;34;18;Praha;2013;103.3125005;71.25;54.75;NA;NA;612
PSW18033;5.520833333;6.125;3.041666667;NA;NA;NA;18;Praha;2013;99.375;110.25;54.75;NA;NA;NA
KSW1801004;NA;2.958333333;3.0625;NA;NA;NA;18;Klatovy;2013;NA;53.25;55.125;NA;NA;NA
PSW21020;4.458333333;2;3.083333333;NA;NA;NA;21;Praha;2013;93.625;42;64.75;NA;NA;NA
PSW18007;NA;3.020833333;3.083333333;NA;NA;NA;18;Praha;2013;NA;54.375;55.5;NA;NA;NA
PSW21055;4.708333363;1.833333333;3.166666667;NA;NA;NA;21;Praha;2013;98.87500061;38.5;66.5;NA;NA;NA
PSW21030;3.625;2.833333333;3.166666667;NA;NA;NA;21;Praha;2013;76.125;59.5;66.5;NA;NA;NA
PSW21032;3.625;2.833333333;3.166666667;NA;NA;NA;21;Praha;2013;76.125;59.5;66.5;NA;NA;NA
BSW18014;5.739583363;2.833333333;3.166666667;NA;NA;NA;18;Bestvi;2013;103.3125005;51;57;NA;NA;NA
BSW18015;5.739583363;2.833333333;3.166666667;NA;NA;NA;18;Bestvi;2013;103.3125005;51;57;NA;NA;NA
BSW18017;5.739583363;2.833333333;3.166666667;NA;NA;NA;18;Bestvi;2013;103.3125005;51;57;NA;NA;NA
PSW18022;5.739583363;2.833333333;3.166666667;NA;NA;NA;18;Praha;2013;103.3125005;51;57;NA;NA;NA
PSW21034;5.739583363;2.833333333;3.166666667;NA;NA;NA;21;Praha;2013;120.5312506;59.5;66.5;NA;NA;NA
BSW18009;4.739583363;3.833333333;3.166666667;NA;NA;NA;18;Bestvi;2013;85.31250053;69;57;NA;NA;NA
BSW18003;4.4375;4.114583333;3.1875;NA;NA;NA;18;Bestvi;2013;79.875;74.0625;57.375;NA;NA;NA
PSW18011;4.4375;4.114583333;3.1875;NA;NA;NA;18;Praha;2013;79.875;74.0625;57.375;NA;NA;NA
BSW18004;NA;4.114583333;3.1875;NA;NA;NA;18;Bestvi;2013;NA;74.0625;57.375;NA;NA;NA
PSW18035;5.604166667;2;3.770833333;NA;NA;NA;18;Praha;2013;100.875;36;67.875;NA;NA;NA
PSW21063;4.4375;3.166666667;3.770833333;NA;NA;NA;21;Praha;2013;93.1875;66.5;79.1875;NA;NA;NA
BSW18032;5.520833333;3.166666667;3.770833333;NA;NA;NA;18;Bestvi;2013;99.375;57;67.875;NA;NA;NA
PSW21065;4.4375;3.166666667;3.770833333;NA;NA;29;21;Praha;2013;93.1875;66.5;79.1875;NA;NA;609
BSW18007;4.739583333;4.958333333;3.875;NA;NA;NA;18;Bestvi;2013;85.3125;89.25;69.75;NA;NA;NA
DSW18006;6.458333333;1.020833333;3.927083333;NA;NA;NA;18;Domazlice;2013;116.25;18.375;70.6875;NA;NA;NA
KSW18002;6.458333333;1.020833333;3.927083333;NA;NA;NA;18;Klatovy;2013;116.25;18.375;70.6875;NA;NA;NA
DSW18026;4.6875;3;3.958333333;NA;NA;NA;18;Domazlice;2013;84.375;54;71.25;NA;NA;NA
PSW21047;3.6875;4;3.958333333;NA;NA;NA;21;Praha;2013;77.4375;84;83.125;NA;NA;NA
PSW21046;3.6875;4;3.958333333;NA;NA;30;21;Praha;2013;77.4375;84;83.125;NA;NA;630
PSW18013;5.46875;3.083333333;3.979166667;NA;NA;NA;18;Praha;2013;98.4375;55.5;71.625;NA;NA;NA
PSW1803004;NA;NA;3.979166667;NA;NA;NA;18;Praha;2013;NA;NA;71.625;NA;NA;NA
KSW18001;NA;1.979166667;4;NA;NA;NA;18;Klatovy;2013;NA;35.625;72;NA;NA;NA
BSW21027;4.458333333;2.041666667;4;NA;NA;NA;21;Bestvi;2013;93.625;42.875;84;NA;NA;NA
KSW18008;6.614583333;2.041666667;4;NA;NA;NA;18;Klatovy;2013;119.0625;36.75;72;NA;NA;NA
93P15;6;4;4;NA;NA;NA;15;Praha;2012;90;60;60;NA;NA;NA
PSW15004;7.578125029;5.208333333;4;NA;NA;NA;15;Praha;2013;113.6718754;78.125;60;NA;NA;NA
5B15;4;8;4;NA;NA;NA;15;Bestvi;2012;60;120;60;NA;NA;NA
6B15;4;8;4;NA;NA;NA;15;Bestvi;2012;60;120;60;NA;NA;NA
7B15;4;8;4;NA;NA;NA;15;Bestvi;2012;60;120;60;NA;NA;NA
8B15;4;8;4;NA;NA;NA;15;Bestvi;2012;60;120;60;NA;NA;NA
9B15;4;8;4;NA;NA;NA;15;Bestvi;2012;60;120;60;NA;NA;NA
115B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
116B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
117B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
118B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
119B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
120B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
121B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
122B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
123B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
124B25;NA;NA;4;NA;NA;NA;25;Bestvi;2012;NA;NA;100;NA;NA;NA
98P15;NA;NA;4;NA;NA;NA;15;Praha;2012;NA;NA;60;NA;NA;NA
BSW18001;5.541666667;1.9375;4.083333333;NA;NA;NA;18;Bestvi;2013;99.75;34.875;73.5;NA;NA;NA
