No.;FAM;ROD;DRUH;LOKALITA;STATE/PROV;ZEME;CMP;CMP2;DEN_POC;MES_POC;ROK_POC;DEN_KON;MES_KON;ROK_KON;POCET_M;POCET_F;BIOTOP;METRU_OD;METRU_DO;METODA_SB;LEG;COLL;DET;ROK;REV;ROK;ZDROJ;POZN.;lat;long
21319;Leiodidae;Sciodrepoides;watsoni;Kunìtická hora Hill;Bohemia;Czech Republic;5960;;18;4;2008;28;4;2008;;1;;;;Malaise trap;B. Mocek;Mus. Hradec Králové;J. Rùžièka;2014;;;PC;;50D04M50S;15D48M54S
21320;Leiodidae;Sciodrepoides;watsoni;Kunìtická hora Hill;Bohemia;Czech Republic;5960;;19;6;2008;3;7;2008;1;1;;;;Malaise trap;B. Mocek;Mus. Hradec Králové;J. Rùžièka;2014;;;PC;;50D04M50S;15D48M54S
21078;Leiodidae;Sciodrepoides;watsoni;Straèov;Bohemia;Czech Republic;5659;;24;9;2009;;;;;1;;;;pitfall trap;T. Kopecký;T. Kopecký (Hradec Králové);J. Rùžièka;2013;;;PC;;50D18M03S;15D38M26S
20973;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;23;4;2012;18;5;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.0S;13D50M09.7S
20969;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;23;4;2012;18;5;2012;1;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.8S;13D50M10.1S
20988;Leiodidae;Sciodrepoides;watsoni;Libèeves;Bohemia;Czech Republic;5549;;21;8;2012;20;9;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D26M31.8S;13D50M10.1S
20981;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M18.1S;13D48M11.2S
21011;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M18.1S;13D48M11.2S
20996;Leiodidae;Sciodrepoides;watsoni;Jablonec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M25.0S;13D47M57.8S
20979;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M51.4S;13D48M31.2S
