indiv;egg;L1;L2;L3;pupae;total;temp;loc;year
29B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
30B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
31B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
32B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
33B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
34B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
35B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
36B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
37B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
38B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
39B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
40B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
77B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
78B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
79B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
80B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
81B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
82B21;72,0000;72,0000;168,0000;NA;NA;NA;21;Bestvi;2012
22B15;72,0000;72,0000;168,0000;480,0000;NA;NA;15;Bestvi;2012
23B15;72,0000;72,0000;168,0000;480,0000;NA;NA;15;Bestvi;2012
24B15;72,0000;72,0000;168,0000;480,0000;NA;NA;15;Bestvi;2012
BSW18026;109.5000007;121,0000;168,0000;NA;NA;NA;18;Bestvi;2013
41B15;NA;NA;168,0000;NA;NA;NA;15;Bestvi;2012
42B15;NA;NA;168,0000;NA;NA;NA;15;Bestvi;2012
BSW18005;131.25;74,0000;171.5;NA;NA;NA;18;Bestvi;2013
PSW15016;157,0000;191,0000;189,0000;NA;NA;NA;15;Praha;2013
