indiv;egg;L1;L2;L3;pupae;total;temp;loc;year
PSW21019;NA;NA;NA;NA;NA;NA;21;Praha;2013
BSW21002001;NA;NA;NA;NA;NA;504,0000;21;Bestvi;2013
10B15;NA;NA;NA;NA;NA;NA;15;Bestvi;2012
100P15;240,0000;NA;NA;NA;NA;NA;15;Praha;2012
PSW15013;233.0000007;NA;NA;NA;NA;NA;15;Praha;2013
PSW15011;230.5000007;NA;NA;NA;NA;NA;15;Praha;2013
BSW15003;205.5;NA;NA;NA;NA;NA;15;Bestvi;2013
PSW15007;205.5;NA;NA;NA;NA;NA;15;Praha;2013
68P15;192,0000;NA;NA;NA;NA;NA;15;Praha;2012
69P15;192,0000;NA;NA;NA;NA;NA;15;Praha;2012
BSW15002;181.8750007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW18018;181.8750007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18018;181.8750007;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW15002;180,0000;NA;NA;NA;NA;NA;15;Praha;2013
BSW15004;178.5000007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15001;162.8750007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW18010;162.875;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18033;160.5;NA;NA;NA;NA;NA;18;Bestvi;2013
KSW18012;158.5;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW18016;158.25;NA;NA;NA;NA;NA;18;Praha;2013
BSW15008;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15010;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15009;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
PSW21025;156.75;NA;NA;NA;NA;NA;21;Praha;2013
PSW21013;155.5;NA;NA;NA;NA;NA;21;Praha;2013
KSW18006;155,0000;NA;NA;NA;NA;NA;18;Klatovy;2013
BSW18021;154.25;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18022;154.25;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW18021;137.7500007;NA;NA;NA;NA;NA;18;Praha;2013
BSW18030;137.0000007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18031;137.0000007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18006;135.875;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18036;134.5;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18037;134.5;NA;NA;NA;NA;NA;18;Bestvi;2013
KSW18010;134.5;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW18036;134.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18037;134.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18038;134.5;NA;NA;NA;NA;NA;18;Praha;2013
BSW18038;133,0000;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW18003;133,0000;NA;NA;NA;NA;NA;18;Praha;2013
BSW21001001;133,0000;NA;NA;NA;NA;504,0000;21;Bestvi;2013
PSW18032;132.5;NA;NA;NA;NA;NA;18;Praha;2013
BSW21004002;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004003;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004004;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004005;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW18030;131.75;NA;NA;NA;NA;NA;18;Praha;2013
PSW18006;131.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18008;131.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW21014;131.5;NA;NA;NA;NA;NA;21;Praha;2013
DSW18012;131.25;NA;NA;NA;NA;NA;18;Domazlice;2013
PSW21029;113.75;NA;NA;NA;NA;NA;21;Praha;2013
BSW21029;113,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW18029;112.5;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW21028;111.8750007;NA;NA;NA;NA;NA;21;Praha;2013
PSW21027;111.875;NA;NA;NA;NA;NA;21;Praha;2013
PSW18018;111.25;NA;NA;NA;NA;NA;18;Praha;2013
PSW21043;109.5000007;NA;NA;NA;NA;NA;21;Praha;2013
BSW18035;109,0000;NA;NA;NA;NA;NA;18;Bestvi;2013
DSW18027;109,0000;NA;NA;NA;NA;NA;18;Domazlice;2013
BSW2100?;109,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW21011;108,0000;NA;NA;NA;NA;NA;21;Praha;2013
PSW21016;107.0000007;NA;NA;NA;NA;NA;21;Praha;2013
BSW21012;107,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21026;107,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21028;107,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW21022;107,0000;NA;NA;NA;NA;NA;21;Praha;2013
BSW21018;106.5;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW21024;106.5;NA;NA;NA;NA;NA;21;Praha;2013
PSW21059;106.5;NA;NA;NA;NA;NA;21;Praha;2013
PSW21064;106.5;NA;NA;NA;NA;NA;21;Praha;2013
DSW18003;106,0000;NA;NA;NA;NA;NA;18;Domazlice;2013
KSW18007;105.5;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW21038;105.5;NA;NA;NA;NA;NA;21;Praha;2013
133B15;96,0000;NA;NA;NA;NA;NA;15;Bestvi;2012
134B15;96,0000;NA;NA;NA;NA;NA;15;Bestvi;2012
135R15;96,0000;NA;NA;NA;NA;NA;15;Praha;2012
BSW21030;88.5;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21031;88.5;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW21044;88,0000;NA;NA;NA;NA;NA;21;Praha;2013
BSW21022;85.5;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21013;83.25;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21015;83.25;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW21023;83.25;NA;NA;NA;NA;NA;21;Praha;2013
BSW21009;82.5;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21010;82.5;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21019;80,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21020;80,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
128P21;72,0000;NA;NA;NA;NA;NA;21;Praha;2012
129P21;72,0000;NA;NA;NA;NA;NA;21;Praha;2012
102B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
103B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
104B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
105B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
106B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
107B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
108B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
109B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
110B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
111B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
112B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
113B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
114B25;72,0000;NA;NA;NA;NA;NA;25;Bestvi;2012
130P21;72,0000;NA;NA;NA;NA;NA;21;Praha;2012
43B15;NA;NA;NA;NA;NA;NA;15;Bestvi;2012
16P15;NA;NA;NA;NA;NA;NA;15;Praha;2012
83B21;72,0000;NA;NA;264,0000;144,0000;NA;21;Bestvi;2012
84B21;72,0000;NA;NA;264,0000;144,0000;NA;21;Bestvi;2012
131P21;72,0000;NA;NA;240,0000;NA;NA;21;Praha;2012
86P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
87P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
88P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
89P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
90P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
91P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
127P21;72,0000;96,0000;24,0000;NA;NA;NA;21;Praha;2012
BSW21024;107,0000;49,0000;44,0000;NA;NA;NA;21;Bestvi;2013
PSW21005;132,0000;47.5;46.5;NA;NA;NA;21;Praha;2013
BSW21014;NA;101,0000;46.5;NA;NA;NA;21;Bestvi;2013
DSW18002;NA;72,0000;47.5;365.5;NA;NA;18;Domazlice;2013
DSW18001;NA;74,0000;47.5;269.5;188,0000;NA;18;Domazlice;2013
DSW18001;NA;74,0000;47.5;269.5;188,0000;NA;18;Domazlice;2013
PSW1803002;NA;NA;47.5;NA;NA;NA;18;Praha;2013
DSW18004;NA;120,0000;47.75;NA;NA;NA;18;Domazlice;2013
PSW21040;109.5;49,0000;48,0000;NA;NA;NA;21;Praha;2013
PSW21050;113.0000007;72,0000;48,0000;NA;NA;648,0000;21;Praha;2013
PSW2504002;NA;NA;48,0000;NA;NA;NA;25;Praha;2013
BSW21004;NA;25,0000;49,0000;NA;NA;NA;21;Bestvi;2013
BSW21003;NA;48,0000;49,0000;NA;NA;NA;21;Bestvi;2013
BSW21005;NA;48,0000;49,0000;NA;NA;NA;21;Bestvi;2013
KSW1801003;NA;48,0000;49,0000;NA;NA;NA;18;Klatovy;2013
PSW18023;181.8750007;76,0000;49,0000;NA;NA;NA;18;Praha;2013
PSW18028;154.25;76,0000;49,0000;NA;NA;NA;18;Praha;2013
BSW21005002;83.5;71.25;50.25;293,0000;NA;NA;21;Bestvi;2013
DSW18019;137.7500007;68,0000;51,0000;NA;NA;NA;18;Domazlice;2013
PSW21033;111.25;68,0000;51,0000;NA;NA;NA;21;Praha;2013
PSW21058;112.5;20,0000;52,0000;NA;NA;NA;21;Praha;2013
PSW21053;113.0000007;44,0000;52,0000;NA;NA;NA;21;Praha;2013
PSW18012;155,0000;74,0000;52.5;NA;NA;NA;18;Praha;2013
PSW18014;131.25;74,0000;52.5;NA;NA;NA;18;Praha;2013
PSW18015;131.25;74,0000;52.5;NA;NA;NA;18;Praha;2013
KSW18003;131.5000007;122,0000;52.5;NA;NA;NA;18;Klatovy;2013
BSW21008;107.0000007;72.5;53,0000;NA;NA;NA;21;Bestvi;2013
PSW21060;106.5;166.5;53.5;NA;NA;NA;21;Praha;2013
PSW21037;105.5;51,0000;69,0000;NA;NA;NA;21;Praha;2013
PSW21052;113.0000007;72,0000;69,0000;NA;NA;NA;21;Praha;2013
PSW21054;113.0000007;72,0000;69,0000;NA;NA;NA;21;Praha;2013
PSW21056;113.0000007;72,0000;69,0000;NA;NA;672,0000;21;Praha;2013
KSW1801002;NA;97,0000;70.5;NA;NA;NA;18;Klatovy;2013
PSW21006;132,0000;23,0000;71,0000;NA;NA;NA;21;Praha;2013
PSW1803005;179,0000;24.V;71,0000;NA;NA;NA;18;Praha;2013
DSW18005;155,0000;24.V;71,0000;NA;NA;NA;18;Domazlice;2013
PSW21066;109,0000;48,0000;71,0000;NA;NA;NA;21;Praha;2013
PSW21067;109,0000;48,0000;71,0000;NA;NA;NA;21;Praha;2013
PSW18002;NA;72,0000;71,0000;NA;NA;NA;18;Praha;2013
PSW18034;132.5;76,0000;71,0000;NA;NA;NA;18;Praha;2013
PSW21061;106.5;76,0000;71,0000;NA;NA;624,0000;21;Praha;2013
PSW21045;88.5;120,0000;71,0000;NA;NA;NA;21;Praha;2013
BSW21006;NA;NA;71,0000;NA;NA;NA;21;Bestvi;2013
PSW21007;NA;23,0000;71.25;NA;NA;NA;21;Praha;2013
PSW21041;109.5000007;49,0000;72,0000;NA;NA;NA;21;Praha;2013
PSW21042;109.5000007;49,0000;72,0000;NA;NA;NA;21;Praha;2013
BSW21025;107,0000;49,0000;72,0000;NA;NA;NA;21;Bestvi;2013
BSW21023;107,0000;49,0000;72,0000;NA;NA;672,0000;21;Bestvi;2013
51B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
52B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
53B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
54B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
55B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
56B21;48,0000;72,0000;72,0000;NA;NA;NA;21;Bestvi;2012
20B15;72,0000;72,0000;72,0000;504,0000;288,0000;1008,0000;15;Bestvi;2012
21B15;72,0000;72,0000;72,0000;504,0000;NA;NA;15;Bestvi;2012
92P15;144,0000;96,0000;72,0000;NA;NA;NA;15;Praha;2012
BSW21021;80,0000;100,0000;72,0000;NA;NA;NA;21;Bestvi;2013
