kod;delka;datum;cas;teplota;oblast;jedinec;instar;poznamka;fotka
110;0.387;14.7.2014 9:45;190:45:00;15;Bestvina;BSW15005;l2;;7
111;0.393;15.7.2014 15:00;220:00:00;15;Bestvina;BSW15005;l2;;8
136;0.423;13.7.2014 9:30;166:30:00;15;Bestvina;BSW15006;l2;;7
137;0.409;14.7.2014 9:45;190:45:00;15;Bestvina;BSW15006;l2;;8
138;0.417;15.7.2014 15:00;220:00:00;15;Bestvina;BSW15006;l2;;9
139;0.421;17.7.2014 14:00;267:00:00;15;Bestvina;BSW15006;l2;;10
161;0.418;14.7.2014 9:45;190:45:00;15;Bestvina;BSW15007;l2;;6
162;0.446;15.7.2014 15:00;220:00:00;15;Bestvina;BSW15007;l2;;7
163;0.449;17.7.2014 14:00;267:00:00;15;Bestvina;BSW15007;l2;;8
216;0.389;24.7.2014 15:00;360:00:00;15;Bestvina;BSW15009;l2;;9
217;0.39;25.7.2014 11:00;380:00:00;15;Bestvina;BSW15009;l2;;10
218;0.387;26.7.2014 20:00;413:00:00;15;Bestvina;BSW15009;l2;;11
219;0.387;27.7.2014 20:00;437:00:00;15;Bestvina;BSW15009;l2;;12
220;0.369;28.7.2014 19:00;460:00:00;15;Bestvina;BSW15009;l2;;13
262;0.41;19.6.2014 8:00;46:30:00;18;Bestvina;BSW18001;l2;;3
263;0.413;20.6.2014 8:30;71:00:00;18;Bestvina;BSW18001;l2;;4
265;0.414;22.6.2014 8:30;119:00:00;18;Bestvina;BSW18001;l2;;6
288;0.409;19.6.2014 8:00;46:30:00;18;Bestvina;BSW18002;l2;;3
289;0.402;20.6.2014 8:30;71:00:00;18;Bestvina;BSW18002;l2;;4
290;0.406;21.6.2014 7:45;94:15:00;18;Bestvina;BSW18002;l2;;5
291;0.438;22.6.2014 8:30;119:00:00;18;Bestvina;BSW18002;l2;;6
314;0.401;25.6.2014 10:30;98:45:00;18;Bestvina;BSW18003;l2;;3
315;0.413;26.6.2014 12:00;124:15:00;18;Bestvina;BSW18003;l2;;4
316;0.413;27.6.2014 15:00;151:15:00;18;Bestvina;BSW18003;l2;;5
341;0.42;25.6.2014 10:30;98:45:00;18;Bestvina;BSW18004;l2;;4
342;0.427;26.6.2014 12:00;124:15:00;18;Bestvina;BSW18004;l2;;5
343;0.447;27.6.2014 15:00;151:15:00;18;Bestvina;BSW18004;l2;;6
366;0.439;25.6.2014 10:30;74:00:00;18;Bestvina;BSW18005;l2;;3
367;0.431;26.6.2014 12:00;99:30:00;18;Bestvina;BSW18005;l2;;4
368;0.439;28.6.2014 15:00;150:30:00;18;Bestvina;BSW18005;l2;;5
369;0.454;29.6.2014 10:00;169:30:00;18;Bestvina;BSW18005;l2;;6
371;0.467;1.7.2014 11:00;218:30:00;18;Bestvina;BSW18005;l2;;8
421;0.446;2.7.2014 14:00;119:00:00;18;Bestvina;BSW18007;l2;;6
422;0.453;3.7.2014 14:00;143:00:00;18;Bestvina;BSW18007;l2;;7
423;0.463;4.7.2014 15:00;168:00:00;18;Bestvina;BSW18007;l2;;8
424;0.479;5.7.2014 15:00;192:00:00;18;Bestvina;BSW18007;l2;;9
472;0.406;1.7.2014 11:00;92:00:00;18;Bestvina;BSW18009;l2;;5
473;0.406;2.7.2014 14:00;119:00:00;18;Bestvina;BSW18009;l2;;6
496;0.405;29.6.2014 10:00;43:00:00;18;Bestvina;BSW18010;l2;;3
497;0.398;30.6.2014 10:00;67:00:00;18;Bestvina;BSW18010;l2;;4
498;0.415;1.7.2014 11:00;92:00:00;18;Bestvina;BSW18010;l2;;5
499;0.412;2.7.2014 14:00;119:00:00;18;Bestvina;BSW18010;l2;;6
500;0.428;3.7.2014 14:00;143:00:00;18;Bestvina;BSW18010;l2;;7
549;0.412;1.7.2014 11:00;68:00:00;18;Bestvina;BSW18013;l2;;4
575;0.386;1.7.2014 11:00;68:00:00;18;Bestvina;BSW18014;l2;;4
576;0.372;2.7.2014 14:00;95:00:00;18;Bestvina;BSW18014;l2;;5
577;0.386;3.7.2014 14:00;119:00:00;18;Bestvina;BSW18014;l2;;6
601;0.429;1.7.2014 11:00;68:00:00;18;Bestvina;BSW18015;l2;;4
602;0.424;2.7.2014 14:00;95:00:00;18;Bestvina;BSW18015;l2;;5
603;0.411;3.7.2014 14:00;119:00:00;18;Bestvina;BSW18015;l2;;6
626;0.398;2.7.2014 14:00;95:00:00;18;Bestvina;BSW18016;l2;;3
627;0.406;3.7.2014 14:00;119:00:00;18;Bestvina;BSW18016;l2;;4
628;0.412;4.7.2014 15:00;144:00:00;18;Bestvina;BSW18016;l2;;5
653;0.47;1.7.2014 11:00;68:00:00;18;Bestvina;BSW18017;l2;;4
654;0.443;2.7.2014 14:00;95:00:00;18;Bestvina;BSW18017;l2;;5
703;0.446;1.7.2014 11:00;25:00:00;18;Bestvina;BSW18019;l2;;2
704;0.453;2.7.2014 14:00;52:00:00;18;Bestvina;BSW18019;l2;;3
705;0.423;3.7.2014 14:00;76:00:00;18;Bestvina;BSW18019;l2;;4
730;0.449;2.7.2014 14:00;52:00:00;18;Bestvina;BSW18020;l2;;3
731;0.424;3.7.2014 14:00;76:00:00;18;Bestvina;BSW18020;l2;;4
732;0.45;4.7.2014 15:00;101:00:00;18;Bestvina;BSW18020;l2;;5
808;0.414;2.7.2014 14:00;52:00:00;18;Bestvina;BSW18023;l2;;3
809;0.429;3.7.2014 14:00;76:00:00;18;Bestvina;BSW18023;l2;;4
810;0.422;4.7.2014 15:00;101:00:00;18;Bestvina;BSW18023;l2;;5
833;0.419;2.7.2014 14:00;27:00:00;18;Bestvina;BSW18024;l2;;2
834;0.423;3.7.2014 14:00;51:00:00;18;Bestvina;BSW18024;l2;;3
835;0.421;4.7.2014 15:00;76:00:00;18;Bestvina;BSW18024;l2;;4
836;0.414;5.7.2014 15:00;100:00:00;18;Bestvina;BSW18024;l2;;5
837;0.418;6.7.2014 11:00;120:00:00;18;Bestvina;BSW18024;l2;;6
859;0.417;2.7.2014 14:00;27:00:00;18;Bestvina;BSW18025;l2;;2
860;0.427;3.7.2014 14:00;51:00:00;18;Bestvina;BSW18025;l2;;3
861;0.433;4.7.2014 15:00;76:00:00;18;Bestvina;BSW18025;l2;;4
889;0.419;8.7.2014 15:00;121:00:00;18;Bestvina;BSW18026;l2;;6
891;0.42;10.7.2014 12:00;166:00:00;18;Bestvina;BSW18026;l2;;8
915;0.427;9.7.2014 15:00;120:00:00;18;Bestvina;BSW18027;l2;;6
916;0.425;10.7.2014 12:00;141:00:00;18;Bestvina;BSW18027;l2;;7
917;0.417;12.7.2014 14:00;191:00:00;18;Bestvina;BSW18027;l2;;8
918;0.417;13.7.2014 9:30;210:30:00;18;Bestvina;BSW18027;l2;;9
919;0.433;14.7.2014 9:45;234:45:00;18;Bestvina;BSW18027;l2;;10
939;0.41;8.7.2014 15:00;72:00:00;18;Bestvina;BSW18028;l2;;4
940;0.407;9.7.2014 15:00;96:00:00;18;Bestvina;BSW18028;l2;;5
941;0.415;10.7.2014 12:00;117:00:00;18;Bestvina;BSW18028;l2;;6
942;0.409;12.7.2014 14:00;167:00:00;18;Bestvina;BSW18028;l2;;7
1043;0.426;9.7.2014 15:00;76:00:00;18;Bestvina;BSW18032;l2;;4
1044;0.42;10.7.2014 12:00;97:00:00;18;Bestvina;BSW18032;l2;;5
1045;0.425;12.7.2014 14:00;147:00:00;18;Bestvina;BSW18032;l2;;6
1093;0.424;8.7.2014 15:00;24:00:00;18;Bestvina;BSW18034;l2;;2
1094;0.401;9.7.2014 15:00;48:00:00;18;Bestvina;BSW18034;l2;;3
